Categoria administrativa:Despesa pessoal:Receitas:Despesa interna
Privada sem fins lucrativos:18.107983926784563:18.825494083839093:17.647212762787962
Privada sem fins lucrativos:18.196233680435146:18.885546300191827:17.551729175483576
Privada sem fins lucrativos:18.251517557241762:18.844634235790046:17.71646320688863
Privada sem fins lucrativos:18.306930286512:18.90611138137128:17.64881956029986
Privada sem fins lucrativos:18.921868213572967:19.454903554384348:18.676267352373284
Privada sem fins lucrativos:18.977410537179825:19.350251235559217:18.177623409266868
Privada sem fins lucrativos:18.944259994080337:19.32823122358003:18.302975373492462
Privada sem fins lucrativos:18.669765847334073:19.05436929373592:17.920542140178508
Privada sem fins lucrativos:14.619013835959269:15.061250683927955:13.65616261908679
Privada sem fins lucrativos:15.95524837226573:15.794117581744235:13.195791592861521
Privada sem fins lucrativos:16.19042421948343:16.025155977382692:13.538631337354802
Privada sem fins lucrativos:15.803806565153158:15.988734924999877:14.09872989721904
Privada sem fins lucrativos:16.10015448341044:16.131678211923177:13.681578490794712
Privada sem fins lucrativos:15.22353402775818:15.190627615107239:13.991032558414458
Pública Municipal:14.883303093059089:15.259256040081194:13.975052962002062
Privada sem fins lucrativos:14.91214351905533:15.059431948940833:13.11567286576244
Privada sem fins lucrativos:15.048691326296188:15.030971988567968:13.058208782557626
Privada sem fins lucrativos:17.063136860798057:18.42272587354846:18.066539856578526
Privada sem fins lucrativos:17.007906205610016:18.65428772194871:18.33956024145827
Privada sem fins lucrativos:17.157423986898937:18.745529865838687:18.455967173818085
Privada sem fins lucrativos:17.251102180166573:18.78090978686236:18.468681828118136
Privada sem fins lucrativos:12.681530125458373:12.32198727012653:10.31890299149746
Privada sem fins lucrativos:13.066128228988367:13.140399739890427:11.75743904202063
Privada sem fins lucrativos:12.956578485157431:13.345628217362773:11.768277508877427
Privada sem fins lucrativos:12.738370179035428:13.37746959663999:11.348883022574647
Privada sem fins lucrativos:15.788159255916232:12.380166615029104:12.739425622329891
Privada sem fins lucrativos:15.814333704836196:13.33394615171281:14.530608126358075
Privada sem fins lucrativos:15.979320568476714:13.777688517412276:14.862007460033647
Privada sem fins lucrativos:16.336177050374204:14.97081456195589:15.281690436711685
Privada sem fins lucrativos:15.69279567450424:16.47973424159525:15.47726146021978
Privada sem fins lucrativos:17.249834883682187:17.73211653551411:16.771421480978457
Privada sem fins lucrativos:17.339961916871054:17.8631664649993:16.965161456565752
Privada sem fins lucrativos:17.26134768078905:17.792796232021896:16.90666372837505
Privada sem fins lucrativos:16.89693563957784:17.327361949986845:16.19678297898124
Privada sem fins lucrativos:17.000390123223863:17.423472863859622:16.35698112546997
Privada sem fins lucrativos:17.07165383692438:17.502319055627474:16.452278313504046
Privada sem fins lucrativos:15.618715169301165:13.302680092512224:10.930834210383885
Privada sem fins lucrativos:15.445469662994073:16.787741782483987:16.484944178055294
Privada sem fins lucrativos:15.494581523591949:16.83681376607582:16.534002059143514
Privada sem fins lucrativos:15.44556791890722:16.92408335170992:16.665343862157204
Privada sem fins lucrativos:16.737463685141574:17.46941198457234:16.813616461727868
Privada sem fins lucrativos:16.953822480427224:17.545248528971516:16.738848995086425
Privada sem fins lucrativos:17.0112861818315:17.61819377670466:16.830661780317303
Privada sem fins lucrativos:17.14136754912633:17.73187858131545:16.924343419830983
Privada sem fins lucrativos:17.32410249741726:17.922379016116178:17.124408246290272
Privada sem fins lucrativos:17.347395810187972:17.752651231585077:16.65361943754318
Privada sem fins lucrativos:17.410935635929555:17.802804642532035:16.676432697652544
Privada sem fins lucrativos:16.557492867297533:17.120676581001828:16.278116238547312
Privada sem fins lucrativos:16.670327707259393:17.193119751226746:16.294514368559085
Privada sem fins lucrativos:18.161516730674045:18.692743697865314:17.728494832425266
Privada sem fins lucrativos:18.24294539238362:18.82037461218013:17.904284960108594
Privada sem fins lucrativos:18.332141800317576:18.918464253318824:18.00712485320556
Privada sem fins lucrativos:18.467466293748124:19.0306719394661:18.018620423221677
Privada sem fins lucrativos:15.744723637853387:13.15230928917533:10.780659422070032
Privada sem fins lucrativos:15.681387529300642:13.026712063420355:12.295798763440548
Privada sem fins lucrativos:15.625158031918247:13.047590756728397:12.480723048426972
Privada sem fins lucrativos:17.11664141418924:17.50144082600099:16.360170044184038
Privada sem fins lucrativos:14.65754350584809:15.270977600737632:13.378397494853848
Privada sem fins lucrativos:17.99633637585319:18.703532996504023:18.076586735118177
Privada sem fins lucrativos:17.9435281676903:18.63354649176649:17.99191119014668
Privada sem fins lucrativos:17.55989181534349:18.382030143581904:17.91953916955017
Privada sem fins lucrativos:17.69654729146664:18.526706985125777:17.90155298009528
Privada sem fins lucrativos:18.479751789146288:18.859651750955972:18.010817985087144
Privada sem fins lucrativos:18.425482324392622:18.716800941975787:17.760937880407436
Privada sem fins lucrativos:18.25642969885517:18.67524011804174:17.914988391874274
Privada sem fins lucrativos:18.175763193452177:18.49106688112709:17.165045828462404
